region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
Chad,fft,high,14.41845194,0.33200055124456007,1.25e-06,0.015854895991882292,0.21574665450000002,1271.7,3830.415326820447,248266343732.90402,3309842.725020634,906489134.8890094,84677.46080207267,False,False
Chad,physics_colI,,14.5003091,0.333885401459854,1.23e-06,0.016112699178742165,0.1780337591,354.2784382,1061.077952647768,541556715.9454046,1041863.1260477761,23753483.38680133,104283.22085984539,False,False
Chad,physics_colI,,15.02776019,0.34603053696838515,1.11e-06,0.01785461260347105,0.1583409367,2706.152597,7820.56006012916,12909956858919.53,10525720.50619455,11657040689.815588,129928.88781713063,True,False
Chad,fft,high,14.82891266,0.34145185613299867,1.16e-06,0.017085017232631783,0.16411952549999997,2273.3,6657.746792609406,5384627949067.791,8251895.737241857,6665837413.224678,119950.94329055275,True,False
Chad,fft,high,14.9137961,0.34340638973957494,1.14e-06,0.017384754377063914,0.1611922141,1347.7,3924.504727538819,410716099150.6345,4980349.688686202,1430213199.6815279,124271.91691611709,False,False
Chad,fft,high,14.92645933,0.3436979743949895,1.13e-06,0.01753860176093174,0.1636253041,2024.0,5888.891267290245,3025491785266.458,7498837.548625127,4763157713.367571,123507.40568444328,True,False
Chad,fft,high,13.87510179,0.3194893225724746,1.39e-06,0.014257999992699904,0.20149026760000002,1700.3,5321.930593202517,1211868163631.279,4464845.6210649125,2326113553.4829535,81536.68218817339,True,False
Chad,fft,high,13.89947907,0.320050635980566,1.38e-06,0.014361318833226716,0.1946091849,1700.3,5312.596848278861,1252907522339.866,4647874.7999370955,2413163338.801393,85031.43129844865,True,False
Chad,fft,high,14.07920766,0.3241890824103709,1.33e-06,0.014901218037483357,0.1875,2409.3,7431.774019305857,7074279933835.101,7044414.582033895,7059331464.33129,91573.3277173036,True,False
Chad,fft,high,13.64249778,0.3141333620391904,1.46e-06,0.01357439725332388,0.2172293187,2024.0,6443.123350099603,2749550108206.5405,4791001.411483489,3629476332.6631727,72003.0036365291,True,False
Chad,physics_colI,,13.63549602,0.31397213889336617,1.46e-06,0.01357439725332388,0.2239963504,1347.742218,4292.553545516124,359213898772.2925,3068458.8750090697,1049872885.5030262,69827.76012370619,False,False
Chad,fft,high,13.6712488,0.31479538557185294,1.45e-06,0.013668013786105424,0.2250228102,2409.3,7653.5429374966825,6251314464339.329,5547057.515579274,5888667156.637646,69988.60916766888,True,False
Chad,fft,high,13.74441044,0.316480011973566,1.43e-06,0.013859174818078926,0.22764598540000003,1700.3,5372.535186019954,1092483288106.6937,3878607.536193518,2058473685.626342,70149.70939141313,True,False
Chad,fft,high,13.79861107,0.31772804047986364,1.41e-06,0.014055758858051678,0.239165146,1802.0,5671.517053636328,1377794743886.9595,3956890.35539091,2334905294.3951707,67718.12231192041,True,False
Chad,fft,high,13.83978988,0.3186762274056506,1.4e-06,0.01415615713560919,0.24441149639999998,1513.8,4750.275890749289,566095014155.4622,3253634.624824613,1357153763.947472,66737.85496959423,False,False
