region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
Chad,physics_colI,,19.94933332,0.459355115706095,4.91e-07,0.040363788166706445,0.04250304135999999,563.8648481,1227.5140274279051,11665018257.17752,12845976.242616603,387102760.7772791,1094259.7116561022,False,False
Chad,physics_colI,,20.24804388,0.46623325151396533,4.68e-07,0.04234747861079672,0.0334169708,633.3336976,1358.405252185299,25666399490.363976,19149896.739868168,701076957.2056088,1460188.6798659088,False,False
Chad,physics_colI,,20.49134133,0.4718354401436828,4.5e-07,0.044041377755228595,0.020453163019999998,633.3336976,1342.2766577413897,41115082452.74792,32118710.371132135,1149157702.4869246,2481126.548839898,False,False
Chad,physics_colI,,16.25767388,0.3743506385134357,8.95e-07,0.022143709485869124,0.12728102189999999,532.0423875,1421.240764040809,4404763564.0978365,2761358.983536593,110286596.8197234,200463.45939908485,False,False
Chad,physics_colI,,16.33504359,0.3761321603076286,8.83e-07,0.022444643250116497,0.12112226279999999,473.6839381,1259.3550567773475,2582838441.418918,2578026.138264581,81600398.36233965,213519.3458324532,False,False
Chad,physics_colI,,16.4818507,0.379512553823482,8.62e-07,0.02299143850330959,0.1155337591,446.9509568,1177.6974234372358,1992331391.639506,2571840.485302991,71581831.02686414,229300.88955204608,False,False
Chad,physics_colI,,16.09551747,0.3706168106564738,9.21e-07,0.021518588479753385,0.1455672141,397.9259817,1073.6857321586506,937666738.8695749,1724310.4102843124,40209806.25680942,170332.96600420203,False,False
Chad,physics_colI,,16.53502549,0.3807369612470929,8.54e-07,0.02320681497640851,0.09234336983000001,532.0423875,1397.4014651934779,5853084404.061876,3916303.12246534,151401627.22930261,289573.1696138765,False,False
Chad,physics_colI,,16.94831845,0.39025348154459,7.97e-07,0.024866524454018653,0.08911192214,397.9259817,1019.6602990575328,1371854099.021616,3072436.9232494277,64922532.19911473,321534.64654616744,False,False
Chad,physics_colI,,16.59138955,0.3820348050841603,8.46e-07,0.023426264763419462,0.1026840024,473.6839381,1239.8973386617217,2944627583.917827,3120199.1737258127,95853140.5550733,262874.68075254763,False,False
Chad,physics_colI,,16.13386531,0.3714998114163347,9.15e-07,0.021659693977981273,0.1236313869,473.6839381,1275.0583541189176,2595948705.958308,2470680.835497369,80085958.30571915,201870.1353596119,False,False
Chad,physics_colI,,16.04157672,0.36937476617007065,9.29e-07,0.021333283089185,0.1282314477,421.7266867,1141.7311774508848,1429165329.4701712,2077616.8675434976,54490898.27682774,191695.38174126646,False,False
Chad,physics_colI,,16.03439717,0.3692094492159616,9.3e-07,0.02131034407511061,0.1280033455,446.9509568,1210.562074587005,1909295625.4485323,2217811.8899708884,65072717.32138715,191830.4918885729,False,False
Chad,physics_colI,,16.07973874,0.3702534882221557,9.23e-07,0.021471960985756083,0.1225288929,354.2784382,956.853748768545,629482593.9287094,1796217.7686542405,33625701.78112733,201921.09791090872,False,False
Chad,physics_colI,,15.83065658,0.3645181003476939,9.64e-07,0.020558734429307952,0.1404349148,563.8648481,1546.8775009036867,5630383123.852223,2546246.9665470147,119734481.03869757,168682.40348830697,False,False
Chad,physics_colI,,15.23624805,0.3508311968960833,1.07e-06,0.01852207475687184,0.1837743309,633.3336976,1805.2376846851348,8308251663.732815,2068255.04916034,131086168.04686217,116132.36799347909,False,False
Chad,physics_colI,,16.34743683,0.3764175281493932,8.82e-07,0.022470090691443158,0.1257603406,421.7266867,1120.3694173684294,1398278542.722417,2185119.9859129298,55275730.565737076,205877.84773703365,False,False
Chad,physics_colI,,14.90878159,0.3432909251882383,1.14e-06,0.017384754377063914,0.1692518248,1008.005486,2936.3009973167095,93436141488.18263,3514332.350252895,573031984.0242139,118354.20659027458,False,False
Chad,physics_colI,,14.84444276,0.34180945359091847,1.15e-06,0.01723358259987206,0.1624847932,633.3336976,1852.8852579893276,9942884693.304758,2237699.465259235,149161616.24674857,122211.29529705262,False,False
Chad,physics_colI,,16.09754299,0.3706634504593705,9.2e-07,0.02154197824984007,0.1113899027,397.9259817,1073.5506325396868,1225937464.5590692,2255506.5780702513,52584313.39872896,222837.48977372216,False,False
